speed,car_age,experience,risk
172,22,8.104041735628343,42
94,17,11.429460504100213,36
186,20,14.819477218213366,45
151,10,15.343897062171434,38
100,6,16.455807037533862,47
182,15,14.88423313886596,66
154,11,4.750129425849399,64
167,28,8.004457857440496,42
196,5,9.554297817604551,77
179,1,1.6578264338670845,95
183,8,10.567402425944184,75
210,21,8.726716632131119,19
132,28,16.04218498053468,14
81,12,19.558013375085416,83
167,12,11.120100772851693,47
117,5,6.453727765551673,22
209,7,0.8680156659634553,40
100,4,18.49286660447192,56
168,20,13.90822246213295,65
128,15,1.508690941795385,24
138,3,3.3243086381850584,38
94,23,4.336182131729824,17
130,8,5.889878936788597,14
187,20,19.916627500587413,38
134,16,13.938501117276296,56
143,13,7.6840366275843985,77
210,18,14.742014116860386,85
130,28,18.305086833382127,54
214,10,19.174048148156924,11
100,19,1.157277955154148,36
152,17,7.890435972162598,45
97,24,2.135121318717688,45
211,19,6.713201295939264,35
168,28,3.39359807791131,52
139,26,12.936967233374476,36
93,23,7.765367679797444,78
88,26,4.587894914098993,29
169,5,5.31875849928478,20
132,26,7.206901904105365,83
209,21,5.198997257085254,47
163,23,9.06481693657662,15
171,9,0.6463190221930093,81
190,12,5.595270143378914,32
87,21,8.224134417443725,56
114,1,12.05563764046597,99
160,26,5.419152850302598,55
183,1,1.524007591983263,99
211,15,18.81063654270767,22
81,2,8.332781154769584,71
213,22,11.623252423616526,91
133,16,18.38353103671119,98
185,25,1.6549684007061227,69
83,8,17.533229718515855,52
133,13,11.0317574508814,85
123,21,3.296685222740019,77
93,1,8.225102331707381,14
174,16,15.55204567470451,46
127,29,9.607401637327094,81
94,7,19.70572101331009,40
119,5,7.534779398758815,18
161,22,14.99156599952144,60
190,29,7.859788979577182,38
132,23,16.58328441413029,87
103,3,11.381629383314952,49
203,12,1.270236591800027,50
120,26,0.7364373527198276,95
94,16,2.677042376012664,20
124,19,0.2734392965399457,32
144,5,1.5071812070492463,10
168,22,13.83428794337824,55
150,25,10.68692550058926,30
88,29,14.998214989399436,99
167,14,18.263315045152854,45
208,28,11.70299064650944,63
215,5,14.52241688143696,96
142,15,15.141624040849118,66
218,17,7.557010985515729,10
215,20,4.100906570130498,63
112,5,5.028848790235969,64
202,12,5.494635940518176,49
84,16,4.144552980161129,24
120,26,17.564413349583845,30
107,26,15.139982643444574,56
214,16,0.9379293558243984,82
151,21,5.373449640506147,62
91,7,0.4436948406060326,18
112,4,9.963303732917858,83
127,1,9.524213935780285,61
141,5,16.627429801250024,66
116,23,6.1555447954209885,35
178,26,16.327714704261247,50
183,10,19.359475308796465,44
114,22,1.7681644673129315,72
180,5,15.836356789392658,34
210,4,11.79911794275272,99
80,2,9.600919340369504,84
84,20,8.410715573301502,47
182,10,15.69336527888619,11
106,26,12.787227139484846,16
216,19,16.10089335038724,91
94,26,18.06302117353253,43
169,1,12.34527424194584,26
121,24,19.60925450184756,52
203,5,12.161756990837704,68
142,13,12.732886432445651,60
175,4,11.096312170844511,63
131,16,1.8200418210266056,33
211,16,10.94892613798223,80
108,23,9.018208948322089,61
115,2,18.20942556806546,79
92,17,5.95918903083901,97
150,28,10.472045520300224,42
165,27,13.952837429869266,58
107,20,15.929435513477546,38
145,24,9.186936158923448,72
124,12,16.841828300374193,31
141,18,15.37835482630795,35
213,3,1.3247195570373171,37
107,28,0.917225328092659,94
107,1,12.416113688441826,58
187,1,6.948268164508285,80
123,29,4.182615821570284,90
109,11,6.8312642091309,58
207,12,9.20238317967144,95
171,3,11.695322118983071,72
208,1,8.006009778205627,70
200,1,13.953351473938636,58
106,8,3.6013454469859707,80
200,10,13.93002932454158,10
195,11,8.233224287150563,22
82,12,17.486352097088343,96
182,29,10.304721097284215,60
216,13,19.462206985402087,65
141,12,12.038707910819204,92
130,14,4.476981318126412,71
138,2,16.435812736888984,41
197,29,6.901652556447735,39
175,19,6.95238428965367,38
192,18,0.6360936297033026,58
141,3,10.974306184148173,54
131,23,10.68847007465046,39
91,17,7.119829685439722,25
118,26,17.884345257918515,49
209,8,2.574967965992878,28
210,29,6.601990266203108,27
192,26,6.43165529360058,10
180,10,1.8458117245749217,87
192,26,9.622907881125863,56
160,2,13.75569434192166,75
192,19,10.233140270945224,47
81,9,3.1395536543238745,60
209,7,7.545719304841452,72
133,4,0.0519004876729312,13
166,26,17.366022140711735,10
208,21,1.6903401536136389,17
205,18,11.945561645108612,38
132,11,10.73181291974665,12
147,29,18.480835182148663,41
202,24,4.722330662348087,19
117,4,15.199108178751713,83
103,25,10.62531507947068,92
148,21,14.410321227829296,43
195,29,1.246827250224829,96
177,25,2.954781838124534,64
218,4,2.662338571749565,41
176,10,13.743310108066622,59
203,5,16.888813452672576,16
149,9,14.992324640171748,17
82,3,17.344299621494464,66
175,3,7.94327665008165,97
131,16,2.097383330649618,96
207,4,14.748104121876382,68
118,18,3.645677569519161,81
161,17,11.279301840376728,63
183,7,16.814199717558623,76
208,24,1.7840865742411238,60
90,23,10.70671128031047,17
178,12,6.858537285565205,44
86,17,9.479398828611124,97
169,23,7.102086065586095,87
191,13,12.97645680583152,41
139,23,9.591642035085004,55
192,25,11.683989694283383,25
81,3,14.736449507898255,77
208,9,11.154845319008748,46
127,17,11.73070869321518,63
219,17,11.289170850452823,94
116,20,7.575452519025787,23
88,16,6.748936677438362,64
178,25,17.992947942900244,57
127,22,12.151104445871455,91
210,13,4.8870631092930905,16
133,27,9.964953956978803,83
199,19,6.60696962561828,16
195,17,18.67383647519749,42
192,12,4.506655954250565,94
183,29,7.307136393481153,28
163,9,9.75619601617476,28
191,19,17.016350356722924,45
178,12,1.7577524908028774,38
172,9,16.11729773482287,69
207,7,1.1130697871395068,91
189,28,16.846280705963633,11
161,14,1.0327095574902567,10
133,20,0.3648496285672209,56
147,19,13.93922924732843,78
112,26,19.945110695367887,29
100,15,17.932205259480416,20
127,16,11.5199683561132,11
207,21,18.347912261710636,76
215,5,0.1060001279521083,96
214,3,19.50134325890285,21
207,12,9.81497558517569,29
112,25,14.457921932435514,14
194,20,16.417229463067052,46
198,27,14.369145416731072,47
101,21,10.700734640898212,18
117,4,9.53238968252824,62
188,21,16.771651174052494,53
87,16,19.359881330084686,33
106,25,14.219049576734966,90
100,13,14.724943673969763,39
109,21,10.596800463622332,68
176,10,14.14460191288889,96
107,26,15.355590028856776,90
190,7,1.7458035917935089,90
140,14,10.12207912718694,23
127,26,18.64028684513868,18
83,5,6.412843843190286,49
114,3,11.877661951157975,75
128,23,7.384609630197922,34
96,29,9.085359444381991,82
125,11,10.972062358763065,31
196,11,10.978439597779545,13
85,18,4.034609246604717,35
178,15,13.691430957596666,67
203,12,1.7573622248531362,38
116,9,2.7764954688404075,96
172,26,2.3339212828336264,84
125,12,9.463324021037844,79
174,17,12.122037621116773,27
195,6,2.133985002268721,51
146,7,17.014549200329093,50
207,14,14.919490510974365,47
97,13,8.170365858718338,43
104,8,18.65876134199909,26
137,9,4.100036201064745,34
146,18,7.584571699276008,85
183,27,18.52898847179422,96
103,26,14.431931015025544,95
193,2,0.9618928792817538,94
111,5,15.630289635028298,36
165,29,16.558817743549838,66
206,5,15.01003849530627,40
209,6,15.990742618390312,15
96,19,16.502653533855945,49
183,8,3.728099735762882,21
216,16,4.713834921299995,62
122,13,12.675171274403546,80
118,1,18.15732260925032,19
105,22,6.323931645929893,54
178,20,11.766133515901132,26
129,17,13.659641268342648,35
92,7,9.038972025980785,94
139,25,14.27564909710652,71
214,13,17.99334890584346,55
136,4,12.482030883636751,73
99,6,8.77489350776678,63
144,28,11.549725418122511,74
87,19,7.107249036367918,60
194,29,7.829642204030039,62
171,12,10.63714959376348,45
177,22,1.3323822478163394,35
145,7,4.580507818495927,38
111,27,10.85698621226818,30
165,10,8.630562862728851,20
130,26,6.656315718249686,49
142,19,14.61098273618603,20
204,7,13.87435214806677,45
137,3,3.334615199867663,68
